"speaker","age","ethnicity","interviewer","logDigit","vowel","consonant","stress","foll_interval","logProp"
"12",22,"White","woman",-0.015113638,"e","s","stressed","consonant",-1.67246128367315
"1",40,"White","woman",-0.026343975,"e","s","stressed","consonant",-1.69836127003677
"4",32,"White","man",-0.049190244,"e","s","stressed","consonant",-2.02454301564957
"4",32,"White","man",-0.049190244,"e","s","stressed","consonant",-1.68639895332651
"12",22,"White","woman",-0.015113638,"e","s","stressed","consonant",-2.68301426446648
"4",32,"White","man",-0.049190244,"e","s","stressed","consonant",-1.78956407864818
"12",22,"White","woman",-0.015113638,"e","s","stressed","consonant",-1.81204414047472
"12",22,"White","woman",-0.015113638,"e","s","stressed","consonant",-1.47627820452492
"11",33,"White","man",-0.056570351,"e","t","stressed","consonant",-1.77175880245139
"21",21,"White","woman",0.01093994,"e","t","stressed","consonant",-3.57370638373547
"18",24,"notWhite","woman",-0.021223636,"e","t","stressed","consonant",-1.71191597039883
"8",22,"White","man",-0.021223636,"e","t","stressed","consonant",-1.82949979742752
"14",44,"White","man",0.074179398,"e","t","stressed","consonant",-1.93538751217678
"14",44,"White","man",0.074179398,"e","t","stressed","consonant",-1.77772315782277
"20",27,"White","man",-0.074723546,"i","t","stressed","consonant",-2.49869997209581
"1",40,"White","woman",-0.026343975,"i","t","stressed","consonant",-1.82773457166036
"7",42,"White","woman",-0.071496002,"i","t","stressed","consonant",-2.0984897364999
"3",45,"White","man",-0.011060947,"i","t","stressed","consonant",-2.05140099715044
"14",44,"White","man",0.074179398,"i","t","stressed","consonant",-3.02210555869257
"15",25,"White","woman",0.024692613,"a","k","stressed","consonant",-1.41614706276687
"20",27,"White","man",-0.074723546,"a","k","stressed","consonant",-2.52032110795699
"15",25,"White","woman",0.024692613,"a","k","stressed","consonant",-1.58807308980447
"5",42,"White","woman",0.01093994,"i:","tsh","stressed","consonant",-2.03828346908809
"14",44,"White","man",0.074179398,"e","s","stressed","consonant",-1.36097655303516
"10",34,"White","woman",-0.021223636,"Vw","th","stressed","consonant",-1.98513086229087
"12",22,"White","woman",-0.015113638,"a","t","stressed","consonant",-1.62954296014396
"3",45,"White","man",-0.011060947,"ey","k","stressed","consonant",-2.57702193877174
"11",33,"White","man",-0.056570351,"e","s","stressed","consonant",-2.07174109537515
"13",29,"White","man",-0.046043939,"i","k","stressed","consonant",-2.63427390040977
"18",24,"notWhite","woman",-0.021223636,"i","t","stressed","consonant",-2.89120295507689
"20",27,"White","man",-0.074723546,"u","s","stressed","consonant",-2.11485599984933
"13",29,"White","man",-0.046043939,"u","s","stressed","consonant",-1.60525212340676
"4",32,"White","man",-0.049190244,"u","s","stressed","consonant",-1.67006253423477
"11",33,"White","man",-0.056570351,"u","t","stressed","consonant",-1.7659113838903
"12",22,"White","woman",-0.015113638,"u","s","stressed","consonant",-2.7773128219294
"12",22,"White","woman",-0.015113638,"u","s","stressed","consonant",-1.5248250289382
"20",27,"White","man",-0.074723546,"v","t","stressed","consonant",-2.75480328994903
"8",22,"White","man",-0.021223636,"ey","s","stressed","consonant",-2.92578621640219
"13",29,"White","man",-0.046043939,"oy","s","stressed","consonant",-2.1972245770496
"13",29,"White","man",-0.046043939,"a","s","stressed","consonant",-1.4350845251839
"22",34,"White","man",0.063913326,"a","s","stressed","consonant",-1.77128093782105
"6",44,"White","woman",-0.027371197,"a","s","stressed","consonant",-2.54645826247315
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-1.65199752689097
"19",30,"White","man",0.057136191,"a","s","stressed","consonant",-2.30573135795094
"15",25,"White","woman",0.024692613,"a","s","stressed","consonant",-2.47848828366426
"13",29,"White","man",-0.046043939,"a","s","stressed","consonant",-2.12977572843976
"9",21,"notWhite","man",-0.058688996,"a","s","stressed","consonant",-2.88804588872997
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-2.12220340091534
"19",30,"White","man",0.057136191,"a","s","stressed","consonant",-1.48061715513252
"8",22,"White","man",-0.021223636,"a","s","stressed","consonant",-2.02748180272991
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.92578621596896
"20",27,"White","man",-0.074723546,"a","s","stressed","consonant",-2.86969674948393
"22",34,"White","man",0.063913326,"a","s","stressed","consonant",-1.9186579600073
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.13613357645945
"7",42,"White","woman",-0.071496002,"a","s","stressed","consonant",-1.99422801229685
"8",22,"White","man",-0.021223636,"a","s","stressed","consonant",-3.13936031631084
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-3.25086846319794
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-2.02007480885864
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.14964211613623
"8",22,"White","man",-0.021223636,"a","s","stressed","consonant",-1.86382406283322
"8",22,"White","man",-0.021223636,"a","s","stressed","consonant",-2.24070968930134
"1",40,"White","woman",-0.026343975,"Vw","s","stressed","consonant",-2.4557500655829
"4",32,"White","man",-0.049190244,"Vw","s","stressed","consonant",-2.14671420439637
"4",32,"White","man",-0.049190244,"Vw","s","stressed","consonant",-2.0664831540911
"12",22,"White","woman",-0.015113638,"Vw","s","stressed","consonant",-2.86789890198514
"1",40,"White","woman",-0.026343975,"Vw","s","stressed","consonant",-2.51437682501748
"3",45,"White","man",-0.011060947,"Vw","s","stressed","consonant",-3.34014086739448
"15",25,"White","woman",0.024692613,"Vw","s","stressed","consonant",-2.56945140187237
"22",34,"White","man",0.063913326,"Vw","s","stressed","consonant",-2.2967711230988
"1",40,"White","woman",-0.026343975,"Vw","s","stressed","consonant",-2.62647854754156
"8",22,"White","man",-0.021223636,"Vw","s","stressed","consonant",-2.58066236294877
"8",22,"White","man",-0.021223636,"Vw","s","stressed","consonant",-2.91858939797821
"8",22,"White","man",-0.021223636,"Vw","s","stressed","consonant",-2.4727244857259
"11",33,"White","man",-0.056570351,"o","s","stressed","consonant",-2.7181468514796
"16",20,"White","woman",-0.043951888,"o","s","stressed","consonant",-2.68844148505401
"13",29,"White","man",-0.046043939,"o:","s","stressed","consonant",-1.61953456261726
"8",22,"White","man",-0.021223636,"o:","s","stressed","consonant",-2.47993991614416
"20",27,"White","man",-0.074723546,"o:","s","stressed","consonant",-3.9150934369162
"1",40,"White","woman",-0.026343975,"a","f","stressed","consonant",-2.49756695112118
"2",27,"White","woman",-0.0010005,"a","f","stressed","consonant",-2.25310503567399
"2",27,"White","woman",-0.0010005,"a","sh","stressed","consonant",-1.94848084455721
"14",44,"White","man",0.074179398,"a","sh","stressed","consonant",-1.75927401380358
"8",22,"White","man",-0.021223636,"a","sh","stressed","consonant",-1.86623165474656
"20",27,"White","man",-0.074723546,"a","f","stressed","consonant",-1.72373834047285
"9",21,"notWhite","man",-0.058688996,"e","s","stressed","consonant",-3.16345786832319
"4",32,"White","man",-0.049190244,"e","s","stressed","consonant",-1.95614557624453
"15",25,"White","woman",0.024692613,"e","s","stressed","consonant",-2.34149857110198
"1",40,"White","woman",-0.026343975,"i","p","stressed","consonant",-2.12353933470359
"13",29,"White","man",-0.046043939,"o","k","stressed","consonant",-2.17748146448224
"15",25,"White","woman",0.024692613,"e","s","stressed","consonant",-1.71221357672628
"17",21,"White","woman",-0.012072581,"e","s","stressed","consonant",-1.71180694496645
"18",24,"notWhite","woman",-0.021223636,"e","s","stressed","consonant",-2.38098127295734
"11",33,"White","man",-0.056570351,"v","s","stressed","consonant",-2.73113404688651
"11",33,"White","man",-0.056570351,"i:","t","stressed","consonant",-2.4950590212776
"1",40,"White","woman",-0.026343975,"u","f","stressed","consonant",-2.53225250901944
"14",44,"White","man",0.074179398,"e","sh","stressed","consonant",-2.45818932697672
"11",33,"White","man",-0.056570351,"a","k","stressed","consonant",-2.36397503754671
"3",45,"White","man",-0.011060947,"a","k","stressed","consonant",-2.86002816600604
"10",34,"White","woman",-0.021223636,"a","s","stressed","consonant",-2.29206245608874
"21",21,"White","woman",0.01093994,"e","s","stressed","consonant",-1.85940878935401
"13",29,"White","man",-0.046043939,"ay","t","stressed","consonant",-1.69572744677272
"13",29,"White","man",-0.046043939,"ay","t","stressed","consonant",-3.95961676688718
"13",29,"White","man",-0.046043939,"er","s","stressed","consonant",-2.11676239796325
"19",30,"White","man",0.057136191,"er","s","stressed","consonant",-3.74977899538049
"13",29,"White","man",-0.046043939,"er","s","stressed","consonant",-3.33813924593563
"19",30,"White","man",0.057136191,"er","s","stressed","consonant",-3.11062905854177
"19",30,"White","man",0.057136191,"er","s","stressed","consonant",-3.16824127558164
"19",30,"White","man",0.057136191,"er","s","stressed","consonant",-3.31976481990162
"9",21,"notWhite","man",-0.058688996,"i","sh","stressed","consonant",-3.02688233301273
"9",21,"notWhite","man",-0.058688996,"i","sh","stressed","consonant",-2.9686947467122
"21",21,"White","woman",0.01093994,"i","s","stressed","consonant",-3.19090197308521
"14",44,"White","man",0.074179398,"i","t","stressed","consonant",-1.80418440916922
"16",20,"White","woman",-0.043951888,"i","t","stressed","consonant",-3.33731760590336
"13",29,"White","man",-0.046043939,"i","k","stressed","consonant",-1.99719137722726
"22",34,"White","man",0.063913326,"a","t","stressed","consonant",-1.89270663130152
"18",24,"notWhite","woman",-0.021223636,"u","sh","stressed","consonant",-3.57509045331592
"19",30,"White","man",0.057136191,"o:","s","stressed","consonant",-2.76890009425465
"2",27,"White","woman",-0.0010005,"e","sh","stressed","consonant",-2.39915162594797
"4",32,"White","man",-0.049190244,"u","s","stressed","consonant",-2.02076813992925
"12",22,"White","woman",-0.015113638,"e","t","stressed","consonant",-1.88791620539357
"11",33,"White","man",-0.056570351,"e","t","stressed","consonant",-2.34052799810619
"13",29,"White","man",-0.046043939,"e","t","stressed","consonant",-1.04661699359366
"8",22,"White","man",-0.021223636,"e","t","stressed","consonant",-3.41129403169771
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-1.7729669697451
"8",22,"White","man",-0.021223636,"a","s","stressed","consonant",-1.53949185520007
"12",22,"White","woman",-0.015113638,"Vw","t","stressed","consonant",-2.37987676737301
"20",27,"White","man",-0.074723546,"o","sh","stressed","consonant",-3.72066079635177
"7",42,"White","woman",-0.071496002,"o","t","stressed","consonant",-1.51744817777963
"7",42,"White","woman",-0.071496002,"o","t","stressed","consonant",-1.88012861952114
"18",24,"notWhite","woman",-0.021223636,"a","s","stressed","consonant",-1.70425774711406
"3",45,"White","man",-0.011060947,"ey","t","stressed","consonant",-3.2660983794967
"19",30,"White","man",0.057136191,"u:","p","stressed","consonant",-2.24649562639762
"19",30,"White","man",0.057136191,"u:","p","stressed","consonant",-2.21272983071411
"13",29,"White","man",-0.046043939,"e","s","stressed","consonant",-2.35524135757831
"4",32,"White","man",-0.049190244,"e","s","stressed","consonant",-2.24310092861616
"9",21,"notWhite","man",-0.058688996,"e","s","stressed","consonant",-2.64807694033125
"22",34,"White","man",0.063913326,"e","s","stressed","consonant",-1.68608503119486
"3",45,"White","man",-0.011060947,"e","s","stressed","consonant",-2.44832612654886
"10",34,"White","woman",-0.021223636,"a","p","stressed","consonant",-2.57296484165298
"13",29,"White","man",-0.046043939,"a","p","stressed","consonant",-2.13906109633213
"9",21,"notWhite","man",-0.058688996,"a:","t","stressed","consonant",-2.12343974376079
"5",42,"White","woman",0.01093994,"aw","s","stressed","consonant",-2.59398365499718
"19",30,"White","man",0.057136191,"aw","s","stressed","consonant",-1.84007733236444
"8",22,"White","man",-0.021223636,"aw","s","stressed","consonant",-1.94066996247021
"2",27,"White","woman",-0.0010005,"aw","s","stressed","consonant",-2.12945196233304
"14",44,"White","man",0.074179398,"aw","s","stressed","consonant",-1.70552479143612
"8",22,"White","man",-0.021223636,"i","f","stressed","consonant",-1.19856526795354
"10",34,"White","woman",-0.021223636,"u","s","stressed","consonant",-1.11603328381796
"14",44,"White","man",0.074179398,"u","s","stressed","consonant",-2.30258509299405
"3",45,"White","man",-0.011060947,"i","k","stressed","consonant",-2.89314568513515
"11",33,"White","man",-0.056570351,"a","k","stressed","consonant",-1.93853420616497
"15",25,"White","woman",0.024692613,"a","s","stressed","consonant",-1.54329810977006
"13",29,"White","man",-0.046043939,"a","s","stressed","consonant",-1.76594270402834
"1",40,"White","woman",-0.026343975,"a","s","stressed","consonant",-3.19071413135028
"22",34,"White","man",0.063913326,"a","s","stressed","consonant",-1.90196889096454
"6",44,"White","woman",-0.027371197,"a","s","stressed","consonant",-2.31790540373968
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-1.60651393374772
"7",42,"White","woman",-0.071496002,"a","s","stressed","consonant",-2.06224887982177
"18",24,"notWhite","woman",-0.021223636,"a","s","stressed","consonant",-2.83984829584244
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.51431540345153
"12",22,"White","woman",-0.015113638,"a","s","stressed","consonant",-3.16212300807025
"1",40,"White","woman",-0.026343975,"a","s","stressed","consonant",-1.75454794031949
"10",34,"White","woman",-0.021223636,"a","s","stressed","consonant",-2.21656020428003
"7",42,"White","woman",-0.071496002,"a","s","stressed","consonant",-2.24357568204134
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.5250935220048
"2",27,"White","woman",-0.0010005,"a","s","stressed","consonant",-2.15624180716376
"1",40,"White","woman",-0.026343975,"a","s","stressed","consonant",-2.55606315773508
"5",42,"White","woman",0.01093994,"a","s","stressed","consonant",-1.9690701327203
"10",34,"White","woman",-0.021223636,"a","s","stressed","consonant",-2.07129153725163
"5",42,"White","woman",0.01093994,"a","s","stressed","consonant",-2.28383966513955
"2",27,"White","woman",-0.0010005,"a","s","stressed","consonant",-2.02626677927467
"18",24,"notWhite","woman",-0.021223636,"ey","t","stressed","consonant",-3.60482017017329
"17",21,"White","woman",-0.012072581,"e","f","stressed","consonant",-2.8006667473286
"8",22,"White","man",-0.021223636,"e","f","stressed","consonant",-1.73444666880107
"11",33,"White","man",-0.056570351,"e","f","stressed","consonant",-2.82397966776062
"13",29,"White","man",-0.046043939,"e","f","stressed","consonant",-1.96317222243208
"11",33,"White","man",-0.056570351,"e","f","stressed","consonant",-3.40589198289003
"5",42,"White","woman",0.01093994,"e","f","stressed","consonant",-2.63274172926705
"20",27,"White","man",-0.074723546,"e","s","stressed","consonant",-3.21346828852355
"14",44,"White","man",0.074179398,"e","s","stressed","consonant",-2.03070668574969
"13",29,"White","man",-0.046043939,"e","s","stressed","consonant",-1.78554254394195
"19",30,"White","man",0.057136191,"e","s","stressed","consonant",-1.38498857599139
"13",29,"White","man",-0.046043939,"e","s","stressed","consonant",-1.59763524809694
"17",21,"White","woman",-0.012072581,"e","s","stressed","consonant",-1.64463216034796
"12",22,"White","woman",-0.015113638,"e","s","stressed","consonant",-2.02086578535385
"1",40,"White","woman",-0.026343975,"e","t","stressed","consonant",-2.20421914117734
"14",44,"White","man",0.074179398,"e","t","stressed","consonant",-3.29351099625223
"1",40,"White","woman",-0.026343975,"ay","f","stressed","consonant",-2.51808042335458
"6",44,"White","woman",-0.027371197,"ay","f","stressed","consonant",-2.58072531429837
"16",20,"White","woman",-0.043951888,"ay","f","stressed","consonant",-3.60662384804715
"11",33,"White","man",-0.056570351,"ay","f","stressed","consonant",-1.98668080670345
"14",44,"White","man",0.074179398,"ay","f","stressed","consonant",-1.51232497109402
"11",33,"White","man",-0.056570351,"ay","k","stressed","consonant",-1.59716782004146
"13",29,"White","man",-0.046043939,"ay","k","stressed","consonant",-1.42457528477467
"13",29,"White","man",-0.046043939,"ay","k","stressed","consonant",-1.5885871172072
"1",40,"White","woman",-0.026343975,"i","s","stressed","consonant",-2.81090758626029
"13",29,"White","man",-0.046043939,"i","s","stressed","consonant",-3.21134755893656
"8",22,"White","man",-0.021223636,"i","t","stressed","consonant",-2.20022308022404
"15",25,"White","woman",0.024692613,"o","s","stressed","consonant",-1.92637550812806
"14",44,"White","man",0.074179398,"o","s","stressed","consonant",-2.43384250410292
"4",32,"White","man",-0.049190244,"o","s","stressed","consonant",-1.62612041252021
"15",25,"White","woman",0.024692613,"o","s","stressed","consonant",-2.05492283967337
"13",29,"White","man",-0.046043939,"o","s","stressed","consonant",-2.23504577567528
"10",34,"White","woman",-0.021223636,"o","s","stressed","consonant",-2.23667507483483
"3",45,"White","man",-0.011060947,"o","s","stressed","consonant",-2.62853469282285
"15",25,"White","woman",0.024692613,"o","s","stressed","consonant",-1.96921483640881
"15",25,"White","woman",0.024692613,"o","s","stressed","consonant",-2.0699177200743
"11",33,"White","man",-0.056570351,"o","t","stressed","consonant",-3.01484409588943
"13",29,"White","man",-0.046043939,"o","t","stressed","consonant",-1.65011754749489
"2",27,"White","woman",-0.0010005,"a","k","stressed","consonant",-1.36770152804812
"11",33,"White","man",-0.056570351,"a","s","stressed","consonant",-1.97799846378258
"14",44,"White","man",0.074179398,"a","tsh","stressed","consonant",-1.83773871596963
"11",33,"White","man",-0.056570351,"ey","t","stressed","consonant",-3.1634578679331
"19",30,"White","man",0.057136191,"a","k","stressed","consonant",-1.95336439147126
"17",21,"White","woman",-0.012072581,"e","s","stressed","consonant",-2.42560690761629
"1",40,"White","woman",-0.026343975,"ay","t","stressed","consonant",-2.69330791915254
"1",40,"White","woman",-0.026343975,"i","s","stressed","consonant",-2.74084002364369
"1",40,"White","woman",-0.026343975,"i","s","stressed","consonant",-3.46998821228789
"13",29,"White","man",-0.046043939,"u","tsh","stressed","consonant",-1.89792775226408
"22",34,"White","man",0.063913326,"u","tsh","stressed","consonant",-2.50017412174382
"7",42,"White","woman",-0.071496002,"u","tsh","stressed","consonant",-2.27653441586506
"16",20,"White","woman",-0.043951888,"u","tsh","stressed","consonant",-2.05288226880819
"7",42,"White","woman",-0.071496002,"u","k","stressed","consonant",-3.09119420999223
"4",32,"White","man",-0.049190244,"u","s","stressed","consonant",-1.64702759679582
"13",29,"White","man",-0.046043939,"u","s","stressed","consonant",-2.33237266818436
"20",27,"White","man",-0.074723546,"o:","t","stressed","consonant",-3.28021607298379
"13",29,"White","man",-0.046043939,"e","k","stressed","consonant",-1.6262819589984
"5",42,"White","woman",0.01093994,"e","k","stressed","consonant",-3.01895415609937
"19",30,"White","man",0.057136191,"e","k","stressed","consonant",-2.00754419335954
"13",29,"White","man",-0.046043939,"e","k","stressed","consonant",-1.63396647887335
"13",29,"White","man",-0.046043939,"e","k","stressed","consonant",-1.51852921396206
"11",33,"White","man",-0.056570351,"ay","s","stressed","consonant",-3.20974334109513
"14",44,"White","man",0.074179398,"ay","s","stressed","consonant",-1.73384845887454
"13",29,"White","man",-0.046043939,"ay","s","stressed","consonant",-3.23969363979611
"1",40,"White","woman",-0.026343975,"ay","s","stressed","consonant",-2.62854935185082
"22",34,"White","man",0.063913326,"ay","s","stressed","consonant",-1.82740928870806
"4",32,"White","man",-0.049190244,"ay","s","stressed","consonant",-2.29496116801591
"3",45,"White","man",-0.011060947,"ay","s","stressed","consonant",-1.9370800695623
"14",44,"White","man",0.074179398,"ay","s","stressed","consonant",-2.35524135800695
"5",42,"White","woman",0.01093994,"ay","s","stressed","consonant",-2.30647362674499
"1",40,"White","woman",-0.026343975,"ay","s","stressed","consonant",-1.67257095200636
"18",24,"notWhite","woman",-0.021223636,"ay","s","stressed","consonant",-2.44230427251387
"13",29,"White","man",-0.046043939,"ay","s","stressed","consonant",-3.02265197196336
"1",40,"White","woman",-0.026343975,"ay","s","stressed","consonant",-2.6825711155902
"13",29,"White","man",-0.046043939,"ay","s","stressed","consonant",-2.35021240704517
"19",30,"White","man",0.057136191,"o","t","stressed","consonant",-2.19977727223927
"12",22,"White","woman",-0.015113638,"o","t","stressed","consonant",-2.04689866393746
"12",22,"White","woman",-0.015113638,"o","t","stressed","consonant",-2.34429077932924
"4",32,"White","man",-0.049190244,"i","s","unstressed","consonant",-2.76387636978518
"17",21,"White","woman",-0.012072581,"e","s","stressed","consonant",-3.00461185217694
"3",45,"White","man",-0.011060947,"e","sh","stressed","consonant",-2.93504605916586
"15",25,"White","woman",0.024692613,"o","f","stressed","consonant",-1.50263309185194
"13",29,"White","man",-0.046043939,"o","f","stressed","consonant",-2.06484557957629
"7",42,"White","woman",-0.071496002,"o","f","stressed","consonant",-1.59891527548156
"18",24,"notWhite","woman",-0.021223636,"o","f","stressed","consonant",-1.75224350939718
"14",44,"White","man",0.074179398,"o","f","stressed","consonant",-2.12106321643979
"16",20,"White","woman",-0.043951888,"o","f","stressed","consonant",-2.08599894222045
"18",24,"notWhite","woman",-0.021223636,"o","f","stressed","consonant",-2.02499967086507
"3",45,"White","man",-0.011060947,"o","f","stressed","consonant",-1.77108446070313
"12",22,"White","woman",-0.015113638,"o","f","stressed","consonant",-2.41104284257029
"17",21,"White","woman",-0.012072581,"o","f","stressed","consonant",-1.72450724224038
"10",34,"White","woman",-0.021223636,"o","f","stressed","consonant",-1.30903114118194
"4",32,"White","man",-0.049190244,"o","f","stressed","consonant",-1.21194097373094
"18",24,"notWhite","woman",-0.021223636,"o","f","stressed","consonant",-1.92965422334761
"16",20,"White","woman",-0.043951888,"o","f","stressed","consonant",-2.37978391533161
"3",45,"White","man",-0.011060947,"o","f","stressed","consonant",-2.55954182137777
"13",29,"White","man",-0.046043939,"a","s","stressed","consonant",-2.0208876308934
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.76615607043677
"3",45,"White","man",-0.011060947,"a","s","stressed","consonant",-2.62853469264786
"11",33,"White","man",-0.056570351,"a","s","stressed","consonant",-2.51808042374151
