Jane,er,P,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,P,34,0.979,Claire,8546,0.001,2,NA
Jane,er,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,er,P,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,P,34,0.979,Claire,8546,0.001,2,NA
Jane,er,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,P,P,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,uh,S,S,34,0.979,Claire,8546,0.001,2,NA
Jane,um,S,S,34,0.979,Claire,8546,0.001,2,NA
